weight:1.200000---avg:0.152658 mseX:0.032744 mseY:0.047939 mseS:0.040342
weight:1.200000---avg:0.154817 mseX:0.033315 mseY:0.048647 mseS:0.040981
weight:1.200000---avg:0.154218 mseX:0.032806 mseY:0.049009 mseS:0.040908
weight:1.200000---avg:0.154325 mseX:0.032538 mseY:0.049287 mseS:0.040913
weight:1.200000---avg:0.141762 mseX:0.028028 mseY:0.043001 mseS:0.035514
weight:1.200000---avg:0.136780 mseX:0.027513 mseY:0.036021 mseS:0.031767
weight:1.200000---avg:0.138327 mseX:0.028033 mseY:0.035915 mseS:0.031974
weight:1.200000---avg:0.136297 mseX:0.027420 mseY:0.035619 mseS:0.031519
weight:1.200000---avg:0.132794 mseX:0.025797 mseY:0.035924 mseS:0.030861
weight:1.200000---avg:0.135484 mseX:0.027176 mseY:0.036471 mseS:0.031824
weight:1.200000---avg:0.138840 mseX:0.027990 mseY:0.037662 mseS:0.032826
weight:1.200000---avg:0.133420 mseX:0.026814 mseY:0.035248 mseS:0.031031
weight:1.200000---avg:0.140102 mseX:0.028267 mseY:0.039409 mseS:0.033838
weight:1.200000---avg:0.135138 mseX:0.026143 mseY:0.036081 mseS:0.031112
weight:1.200000---avg:0.137552 mseX:0.026589 mseY:0.039320 mseS:0.032954
weight:1.200000---avg:0.137114 mseX:0.026945 mseY:0.037987 mseS:0.032466
weight:1.200000---avg:0.138061 mseX:0.027432 mseY:0.037058 mseS:0.032245
weight:1.200000---avg:0.136788 mseX:0.026142 mseY:0.038648 mseS:0.032395
weight:1.200000---avg:0.136023 mseX:0.026067 mseY:0.037626 mseS:0.031846
weight:1.200000---avg:0.141811 mseX:0.027049 mseY:0.043474 mseS:0.035261
weight:1.200000---avg:0.138391 mseX:0.026518 mseY:0.038018 mseS:0.032268
weight:1.200000---avg:0.137483 mseX:0.026942 mseY:0.038253 mseS:0.032598
weight:1.200000---avg:0.136982 mseX:0.026227 mseY:0.038821 mseS:0.032524
weight:1.200000---avg:0.138235 mseX:0.026703 mseY:0.040226 mseS:0.033465
weight:1.200000---avg:0.133157 mseX:0.027292 mseY:0.034904 mseS:0.031098
weight:1.200000---avg:0.141297 mseX:0.027784 mseY:0.040868 mseS:0.034326
weight:1.200000---avg:0.138818 mseX:0.027691 mseY:0.039041 mseS:0.033366
weight:1.200000---avg:0.131958 mseX:0.026205 mseY:0.035505 mseS:0.030855
weight:1.200000---avg:0.138037 mseX:0.026400 mseY:0.038879 mseS:0.032639
weight:1.200000---avg:0.136900 mseX:0.026210 mseY:0.038448 mseS:0.032329
weight:1.200000---avg:0.141271 mseX:0.028461 mseY:0.039918 mseS:0.034189
weight:1.200000---avg:0.137899 mseX:0.027234 mseY:0.038886 mseS:0.033060
weight:1.200000---avg:0.135910 mseX:0.026046 mseY:0.037176 mseS:0.031611
weight:1.200000---avg:0.139875 mseX:0.027523 mseY:0.039056 mseS:0.033290
weight:1.200000---avg:0.139956 mseX:0.027805 mseY:0.040250 mseS:0.034028
weight:1.200000---avg:0.137566 mseX:0.026672 mseY:0.038013 mseS:0.032342
weight:1.200000---avg:0.138839 mseX:0.027314 mseY:0.039848 mseS:0.033581
weight:1.200000---avg:0.139711 mseX:0.027528 mseY:0.040436 mseS:0.033982
weight:1.200000---avg:0.140063 mseX:0.027226 mseY:0.042067 mseS:0.034647
weight:1.200000---avg:0.138726 mseX:0.026293 mseY:0.041351 mseS:0.033822
weight:1.200000---avg:0.140451 mseX:0.027384 mseY:0.039589 mseS:0.033487
weight:1.200000---avg:0.137427 mseX:0.025831 mseY:0.039739 mseS:0.032785
weight:1.200000---avg:0.143358 mseX:0.028099 mseY:0.043660 mseS:0.035880
weight:1.200000---avg:0.140174 mseX:0.027545 mseY:0.039428 mseS:0.033486
weight:1.200000---avg:0.141395 mseX:0.027802 mseY:0.040670 mseS:0.034236
weight:1.200000---avg:0.139934 mseX:0.026041 mseY:0.043303 mseS:0.034672
weight:1.200000---avg:0.128321 mseX:0.024371 mseY:0.033334 mseS:0.028853
weight:1.200000---avg:0.126740 mseX:0.022883 mseY:0.033125 mseS:0.028004
weight:1.200000---avg:0.128151 mseX:0.023404 mseY:0.033550 mseS:0.028477
weight:1.200000---avg:0.127756 mseX:0.024033 mseY:0.033161 mseS:0.028597
weight:1.200000---avg:0.127677 mseX:0.023440 mseY:0.033545 mseS:0.028492
weight:1.200000---avg:0.128674 mseX:0.024388 mseY:0.032685 mseS:0.028537
weight:1.200000---avg:0.130584 mseX:0.024227 mseY:0.033682 mseS:0.028954
weight:1.200000---avg:0.128623 mseX:0.023471 mseY:0.033620 mseS:0.028545
weight:1.200000---avg:0.127515 mseX:0.022683 mseY:0.034589 mseS:0.028636
weight:1.200000---avg:0.128147 mseX:0.024090 mseY:0.031889 mseS:0.027989
weight:1.200000---avg:0.127405 mseX:0.024268 mseY:0.031675 mseS:0.027972
weight:1.200000---avg:0.126822 mseX:0.023880 mseY:0.031968 mseS:0.027924
weight:1.200000---avg:0.128094 mseX:0.022993 mseY:0.034974 mseS:0.028983
weight:1.200000---avg:0.126146 mseX:0.023681 mseY:0.032064 mseS:0.027873
weight:1.200000---avg:0.126477 mseX:0.023507 mseY:0.030149 mseS:0.026828
weight:1.200000---avg:0.125883 mseX:0.023906 mseY:0.031198 mseS:0.027552
weight:1.200000---avg:0.128297 mseX:0.023087 mseY:0.032542 mseS:0.027814
weight:1.200000---avg:0.128760 mseX:0.023255 mseY:0.034478 mseS:0.028867
